负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
				光电工程专业管理硕士(中文)	一年	437，280港币	11月12日~次年5月31日	/	无明确说明	有	无
		781-790	科技学院	中国环保研究硕士(中文授课)	一年	249，840港币	1月入学4.1-7.31/9月入学 11.12-次年2.28	/	无明确说明	有	无
				可持续发展的全球环境管理硕士	一年	180，000港币	1月入学4.1-7.31/9月入学 11.12-次年2.28	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				科学研究硕士	一年	180，600港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				电脑学硕士	一年	125，070港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				智慧建造和建筑信息模拟应用理学硕士	一年	146，400港币	11月12日~次年5月31日	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
											
	香港树仁大学	/	商业管理系	市场营销和消费者心理学硕士（中文授课）	一年	160，000港币	11月17日~次年1.31日	/（备注:具备良好的中文水平)	无明确说明	有	无
			应用数据科学学系	游戏开发与管理硕士	一年	165，000港币	11月17日~次年1.31日	雅思总分6，小分5.5(备注:六级450)，托福总分80	无明确说明	有	需要
			研究生院	辅导与心里学社会科学硕士	两年	252,000港币	11月17日~次年1.31日	雅思总分6.5/托福总分100	无明确说明	有	无
				心理学社会科学硕士	一年	144，000港币	4月1日~8月31日	雅思总分6.5/托福总分100	无明确说明	有	无
				中国语言文学与教学硕士(中文授课)	一年	119，700港币	11月17日~次年1月31日	/	无明确说明	有	无
				金融科技管理硕士	一年	200，000港币	11月17日~次年1月31日	雅思总分6，小分5.5(备注:六级450)，托福总分80	无明确说明	无明确说明	加分项
			社会学系	智慧文旅社会科学硕士	一年	162，000港币	1月5日-4月30日	雅思总分6，小分5.5(备注:六级450)，托福总分80	无明确说明	无明确说明	无
			社会工作系	社会工作硕士	两年	319，000港币	11月17日~次年1月31日	雅思总分6，托福总分79	无明确说明	有	无
			辅导与心理学系	游戏治疗社会科学硕士	两年	180，000港币	11月17日~次年1月31日	雅思总分6.5/托福总分100	无明确说明	无明确说明	无
				逆境与创伤心理学社会科学硕士	一年	144，000港币	11月17日~次年1月31日	雅思总分6，小分5.5(备注:六级450)，托福总分80	无明确说明	无明确说明	加分项
											
	香港恒生大学	/	人文与社会科学学院	中文文学硕士(普通话授课)	一年	139，200港币	1月入学 8.18-10.31/9月入学10.27-次年6.30	/	无明确说明	有	无
				英语语言教学与评核硕士	一年	119，520港币	1月入学 8.18-10.31/9月入学10.27-次年6.30	雅思总分6.5，小分6(备注:六级500，专四专八)，托福总分79	无明确说明	有	无
				环球英语文学及文化研究硕士	一年	119，520港币	1月入学 8.18-10.31/9月入学10.27-次年6.30	雅思总分6.5(备注:六级500)，托福总分79	无明确说明	有	无
				戏剧研究硕士	一年	119，520港币	1月入学 8.18-10.31/9月入学10.27-次年6.30	雅思总分6.5(备注:六级430，专四Good,专八Pass)，托福总分79	无明确说明	有	无
				公共政策及风险治理社会科学硕士	一年	144，000港币	1月入学 8.18-10.31/9月入学10.27-次年6.30	雅思总分6(备注:六级430)，托福总分79	无明确说明	无明确说明	无
				文化遗产管理硕士	一年	148，800港币	1月入学 8.18-10.31/9月入学10.27-次年6.30	雅思总分6(备注:CET6≥430;TEM-4≥70.)，托福总分79	无明确说明	无明确说明	无
				艺术商业硕士	TBC	148，800港币	10月27日~次年6月30日	TBC	TBC	TBC	TBC
				创意人文硕士	TBC	146，400港币	10月27日~次年6月30日	TBC	TBC	TBC	TBC
				社会可持续发展社会科学硕士	一年	144，000港币	10月27日~次年6月30日	雅思总分6(备注:六级430，专四70)，托福总分79	无明确说明	无明确说明	无
			传播学院	策略传播硕士	一年	146，400港币	1月入学 8.18-10.31/9月入学10.27-次年6.30	雅思总分总分6.5(备注:六级430，专四70)，托福总分79	无明确说明	无明确说明	无
				数码媒体传播硕士	一年	146，400港币	10月27日~次年6月30日	雅思总分总分6(备注:六级430，专四70)，托福总分79	无明确说明	无明确说明	无
				娱乐媒体管理与传播硕士	一年	146，400港币	10月27日~次年6月30日	/	无明确说明	maybe	无
			决策科学学院	保险学硕士	一年	199，920港币	10月27日~次年6月30日	雅思总分总分6(备注:六级430，专四70)，托福总分79	无明确说明	无明确说明	无
				数据科学及人工智能硕士	一年	240，000港币	10月27日~次年6月30日	雅思总分总分6(备注:六级430，专四70)，托福总分79	无明确说明	无明确说明	无
				环球供应链管理硕士	一年	216，000港币	10月27日~次年6月30日	雅思总分总分6(备注:六级430，专四70)，托福总分79	无明确说明	无明确说明	无
				数字创新与技术管理硕士(MSc-DITM)	一年	196，800港币	10月27日~次年6月30日	雅思总分总分6(备注:六级430，专四70)，托福总分79	无明确说明	无明确说明	无
				风险分析硕士(MSc-RA)	一年	187，200港币	10月27日~次年6月30日	雅思总分总分6(备注:六级430，专四70)，托福总分79	无明确说明	无明确说明	无
			商学院	商业管理硕士	一年	229，500港币	10月27日~次年6月30日	雅思总分6，托福总分79	无明确说明	无明确说明	无
				创业管理硕士	一年	210，000港币	1月入学 8.18-10.31/9月入学10.27-次年6.30	雅思总分6，托福总分79	无明确说明	无明确说明	无
				工商管理硕士(中文授课)(MBA(中文)	一年	300，000港币	10月27日~次年6月30日	雅思总分5.5(备注:四级425)，托福总分79 高考英文科成绩≥100	无明确说明	有	无
			翻译和外国语学院	翻译硕士(商务和法律)	一年	145，800港币	1月入学 8.18-10.31/9月入学10.27-次年6.30	雅思总分总分6.5(备注:六级430，专四70)，托福总分79	无明确说明	maybe	无
				翻译硕士(电脑辅助翻译)	一年	145，680港币	1月入学 8.18-10.31/9月入学10.27-次年6.30	雅思总分总分6.5(备注:六级430，专四70)，托福总分79	无明确说明	maybe	无
											
	香港珠海学院	/	商学院	工商管理(创业管理)硕士(中文授课)	一年	200，000港币	9月入学 10.20-次年1.31/9月入学 次年2.23-4.30	/	无明确说明	有	无
				应用金融学硕士(中文授课)	一年	190，000港币	9月入学 10.20-次年1.31/9月入学 2.23-5.30	/（备注：接受四级）	无明确说明	有	无
				工商管理硕士(中文授课)	一年	200，000港币	9月入学 10.20-次年1.31/9月入学 2.23-4.30	/	无明确说明	有	无
			文学与社会科学院	国学文学硕士(中文授课)	一年	163，000港币	9月入学 10.20-次年1.31/9月入学 2.23-4.30	/	无明确说明	有	无
				华南历史与文化文学硕士(中文授课)	一年	163，000港币	9月入学 10.20-次年1.31/9月入学 2.23-4.30	/	无明确说明	有	无
				环球传播文学硕士	一年	150，000港币	9月入学 10.20-次年1.31/9月入学 2.23-5.30	雅思总分6(备注:六级430)，托福总分79分	无明确说明	有	无
				应用佛学硕士(中文授课)	一年	140，000港币	1月入学 8.1-10.10/9月入学 10.20-次年1.31/9月入学 2.23-5.30	雅思总分6(备注:六级430)，托福总分79分	无明确说明	无明确说明	无
				艺创科技及数码传播硕士	一年	155，000港币	1月入学 8.1-10.10/9月入学 10.20-次年1.31/9月入学 2.23-5.30	雅思总分6(备注:六级430)，托福总分79分	无明确说明	无明确说明	无
				创意产业应用科技硕士(中文授课)	一年	165，000港币	1月入学 8.1-10.10/9月入学 10.20-次年1.31/9月入学 2.23-5.30	/（备注：接受六级430）	无明确说明	有	无
				汉语作为第二语言教学硕士	一年	155，000港币	9月入学 10.20-次年1.31/9月入学 次年2.23-5.30	雅思总分6(备注:中国国家大学英语考试(CET-6)430分)	无明确说明	有	无
				文化创意与中文研究硕士	一年	168，000港币	9月入学 10.20-次年1.31/9月入学 次年2.23-5.30	/	无明确说明	有	无
				策略营销传讯硕士	一年	155，000港币	9月入学 11.3-次年1.31/9月入学 次年2.23-5.30	/(备注:四级425)	无明确说明	有	无
			理工学院	土木工程(基础设施建设与管理)硕士	一年	170，100港币	1月入学 8.1-10.10/9月入学 10.20-次年1.31/9月入学 2.23-5.30	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				建筑学硕士	两年	250，000港币	10月20日~次年6月12日	雅思总分6(备注:六级425)，托福总分79	无明确说明	有	无
				应用人工智能硕士(中文授课)	一年	165，000港币	9月入学 10.20-次年1.31/9月入学 次年2.23-5.30	/(备注:CET4 425分)	无明确说明	有	无
				文化遗产硕士(中文授课)	一年	162，750港币	9月入学 10.20-次年1.31/9月入学 次年2.23-5.30	雅思总分6(备注:六级430)，托福总分79	无明确说明	有	无
				城市发展与实践硕士(中文授课)	一年	176，400港币	9月入学 10.20-次年1.31/9月入学 次年2.23-4.30	/	无明确说明	有	无
			黄廷方.信和一带一路研究院	社会科学硕士(一带一路国家国际工商管理)	一年	162，750港币	1月入学 8.1-10.10/9月入学 10.20-次年1.31/9月入学 2.23-5.30	雅思总分6.5(备注:接受六级430)，托福总分79	无明确说明	有	无
				社会科学硕士(一带一路国家国际关系)	一年	155，000港币	1月入学 8.1-10.10/9月入学 10.20-次年1.31/9月入学 2.23-5.30	雅思总分6.5(备注:接受六级430)，托福总分79	无明确说明	有	无
											
	香港高等教育科技学院	/	运动及康乐学系	体育竞赛组织管理理学硕士(中文授课)	一年	255，000港币	已开放申请-10.24	/(备注:母语为普通话;或以普通话为教学语言的学士学位或以上学历;或具备三年或以上在中国大陆或其他普通话国家或地区(新加坡、台湾等)的工作经验;或具备国家语言文字工作委员会颁发的普通话水平测试三级乙等或以上资历;或通过面试中的普通话口语能力评估。)	无明确说明	无明确说明	无
			酒店与商业管理系	工商管理(数码转型)硕士(中文授课)	一年	255，000港币	已开放申请-5.31	/(备注:(i)母语为普通话; (i)本科学士或以上学历以普通话为教学语言;或 (i)具备三年或以上中国大陆或其他普通话国家或地区(新加坡、台湾等)工作经验;或 (iv)具备国家语言文字工作委员会颁发的普通话水平测试三级乙等或以上资格;或 ()通过面试评估展示普通话口语能力。)	无明确说明	无明确说明	无
											
	香港理工大学专业进修学院	/	商务与酒店管理系	数码商务及市场营销管理硕士	一年	240，240港币	已开放申请-申请已截止	雅思总分6，托福总分80	无明确说明	无明确说明	无
				绿色商业管理硕士	一年	240，240港币	1月入学 已开放申请-申请已截止/9月入学 已开放申请-无明确申请截止日期	雅思总分6，托福总分80	无明确说明	无明确说明	无
				可持续旅游及酒店管理硕士	一年	240，240港币	已开放申请-申请已截止	雅思总分6，托福总分80	无明确说明	无明确说明	无
				大型活动管理学硕士	一年	240，240港币	1月入学 已开放申请-申请已截止/9月入学 已开放申请-无明确申请截止日期	雅思总分6，托福总分80	无明确说明	无明确说明	无
				人才管理学硕士	一年	240，240港币	1月入学 已开放申请-申请已截止/9月入学 已开放申请-无明确申请截止日期	雅思总分6，托福总分80	无明确说明	无明确说明	无
				财富创造与管理学硕士	一年	240，240港币	1月入学 已开放申请-申请已截止/9月入学 已开放申请-无明确申请截止日期	雅思总分6，托福总分80	无明确说明	无明确说明	无
			科学、工程和健康系	人工智能及新兴技术管理硕士	一年	193.440港币	已开放申请-申请已截止	雅思总分6，托福总分80	无明确说明	无明确说明	无
				建筑法及争议解决硕士	一年	198，240港币	已开放申请-申请已截止	雅思总分6，托福总分80	无明确说明	无明确说明	无
				医疗服务管理硕士	一年	193.440港币	已开放申请-申请已截止	雅思总分6，托福总分80	无明确说明	无明确说明	无
				智慧工程及建筑硕士	一年	193.440港币	1月入学 已开放申请-申请已截止/9月入学 已开放申请-无明确申请截止日期	雅思总分6，托福总分80	无明确说明	无明确说明	无
				应用营养学硕士	一年	193.440港币	1月入学 已开放申请-申请已截止/9月入学 已开放申请-无明确申请截止日期	雅思总分6，托福总分80	无明确说明	无明确说明	无
				工程项目管理学硕士	一年	193.440港币	1月入学 已开放申请-申请已截止/9月入学 已开放申请-无明确申请截止日期	雅思总分6，托福总分80	无明确说明	无明确说明	无
				健康分析硕士	一年	193.440港币	1月入学 已开放申请-申请已截止/9月入学 已开放申请-无明确申请截止日期	雅思总分6，托福总分80	无明确说明	无明确说明	无
				可持续工程硕士	一年	193.440港币	1月入学 已开放申请-申请已截止/9月入学 已开放申请-无明确申请截止日期	雅思总分6，托福总分80	无明确说明	无明确说明	无
			语言与传播系	中文创意写作及媒体文化硕士	一年	193.440港币	已开放申请-申请已截止	雅思总分6，托福总分80	无明确说明	无明确说明	无
				人工智能与科技辅助语言教学硕士	一年	193.440港币	已开放申请-申请已截止	雅思总分6，托福总分80	无明确说明	无明确说明	无
											
	香港演艺学院	/	戏剧学院	戏剧艺术硕士	两年	101，000港币	1月入学 7.5-9.26/9月入学 9.29-次年1.30	雅思总分5.5，托福总分59	无明确说明	有	需要
			电影电视学院	电影制作艺术硕士	两年	122，000港币	9月29日~次年1月30日	雅思总分5.5，托福总分59	无明确说明	有	需要
			舞台及制作艺术学院	舞台及制作艺术硕士	两年	101，000港币	1月入学 7.5-9.26/9月入学 9.29-次年1.30	雅思总分5.5，托福总分59	无明确说明	有	需要
